product,regime,n_ticks,frac_time,rv_50_mean,abs_ret_mean,spread_mean,depth_l1_mean,abs_obi_l1_mean
TRANSLATOR_ASTRO_BLACK,low,9991,0.33303333333333335,15.614139744691588,7.355770193173856,8.297467720948854,24.348713842458213,0.06813609803039886
TRANSLATOR_ASTRO_BLACK,mid,9991,0.33303333333333335,23.626091931701797,7.566960264237814,8.357121409268341,24.175758182364127,0.06371767868253454
TRANSLATOR_ASTRO_BLACK,high,9991,0.33303333333333335,37.78887607921101,7.6351716544890404,8.443399059153238,23.76959263337003,0.056922629574161956
TRANSLATOR_ECLIPSE_CHARCOAL,low,9991,0.33303333333333335,16.465107487966375,7.748873986587929,8.659893904514062,22.72024822340106,0.04112227157386646
TRANSLATOR_ECLIPSE_CHARCOAL,mid,9991,0.33303333333333335,24.136025684055113,7.829946952257031,8.70533480132119,22.63587228505655,0.03816432263486645
TRANSLATOR_ECLIPSE_CHARCOAL,high,9991,0.33303333333333335,37.74529090798919,7.922630367330598,8.735361825643079,22.582023821439297,0.03470305106034205
TRANSLATOR_GRAPHITE_MIST,low,9991,0.33303333333333335,16.976532647715118,7.994094685216695,8.886497848063257,22.30647582824542,0.027110768321854026
TRANSLATOR_GRAPHITE_MIST,mid,9991,0.33303333333333335,25.056995712193224,8.142077870083074,8.8967070363327,22.10299269342408,0.02844890006105141
TRANSLATOR_GRAPHITE_MIST,high,9991,0.33303333333333335,39.29192011173747,8.099489540586529,8.952857571814633,22.19607646882194,0.025029550113877957
TRANSLATOR_SPACE_GRAY,low,9991,0.33303333333333335,15.533893936954309,7.4498548693824445,8.334701231107998,24.093884496046442,0.07010249549828525
TRANSLATOR_SPACE_GRAY,mid,9991,0.33303333333333335,23.51446499509277,7.563256931238114,8.41307176458813,23.93454108697828,0.06444902420361213
TRANSLATOR_SPACE_GRAY,high,9991,0.33303333333333335,37.80664487156701,7.539635672104894,8.457611850665598,23.6286657992193,0.0584047721590996
TRANSLATOR_VOID_BLUE,low,9991,0.33303333333333335,17.838907801577005,8.450705635071564,9.428485637073367,21.949754779301372,0.01876173575712511
TRANSLATOR_VOID_BLUE,mid,9991,0.33303333333333335,26.407785120254523,8.749424482033831,9.545791212090881,21.732759483535183,0.01704484343549683
TRANSLATOR_VOID_BLUE,high,9991,0.33303333333333335,41.330731519939796,8.687819037133421,9.600040036032429,21.78870983885497,0.016579679346066387
