a,b,coint_t,coint_p
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,-1.6484410351805718,0.7000174284073557
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,-3.226964587427814,0.0655329995964092
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,-1.5008036076295033,0.7608837958678332
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,-2.451796625779181,0.3007315425341933
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,-1.6018785713095838,0.7200964025721934
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,-1.7337578660253012,0.661304858435072
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_EVENING_BREATH,-2.6191262328821696,0.22919575565659528
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,-1.9627068061312247,0.5479006787861292
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,-2.293189943918737,0.3769558236088618
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,-2.5949873643320216,0.23885517426090386
