product,signal,ic_h1,n_h1,t_h1,p_h1,ic_h10,n_h10,t_h10,p_h10,ic_h100,n_h100,t_h100,p_h100,ic_h1000,n_h1000,t_h1000,p_h1000,significant
PANEL_1X2,neg_zscore_mid_50,-0.0022388875064217684,29948,-0.3891984506272822,0.6971293495025908,0.0015505834965757455,29921,0.10784981442032822,0.9141148271125128,-0.005191823805723312,29651,-0.19613780173750345,0.8445023093385053,0.005356039081183862,26951,0.16865834632688845,0.866065384140436,False
PANEL_1X2,neg_zscore_vwap_50,0.0018643959478320898,29801,0.32301916743046244,0.7466807260338812,0.0019147722479486875,29774,0.14651635087484202,0.8835137830743447,-0.016966619492784468,29504,-0.6465737940999484,0.5179078230818526,-0.011633413450023191,26804,-0.3421875840358667,0.7322097283764086,False
PANEL_1X2,obi_l1,0.05668312119399447,29997,9.742706709617096,0.0,0.022620254988572838,29970,3.894024071225725,9.859485963659154e-05,0.016507750848391876,29700,2.5257706518839944,0.011544481938834172,0.01415990039277883,27000,2.1311147538576902,0.03307968953103546,True
PANEL_1X2,obi_l3,-0.05239445375878498,29997,-8.974487276813957,0.0,-0.01843465537538498,29970,-3.113251768885822,0.001850380937296503,-0.013483520756974985,29700,-2.3650974495335415,0.01802532723982031,-0.011404308441438296,27000,-1.7845203295067034,0.07433915440630345,True
PANEL_1X2,momentum_10,0.000748412617509424,29987,0.12832077302604206,0.8978951265067974,-0.001782818932792001,29960,-0.13226976947887314,0.894770917717155,-0.0032827381548480154,29690,-0.1920255896608789,0.8477221607689405,3.546361356741694e-05,26990,0.0019044109294999976,0.9984805008404096,False
PANEL_1X2,neg_spread,0.020980346811930145,29997,3.517170204389875,0.0004361739972740253,0.019314748570741013,29970,2.0098863139948517,0.04444322258488098,0.04960407164107532,29700,1.8815060739970744,0.059903109806251464,0.19800067954469816,27000,2.6790738029835977,0.007382611978262288,True
PANEL_1X2,trade_imbalance,0.0037307408789037082,29997,0.6545292074888641,0.512770916196073,0.01074906459351319,29970,0.7757034090888673,0.4379241265393714,0.0349261376789953,29700,1.3583541678761115,0.17435132986654445,0.03675876298718197,27000,1.3744205775201253,0.16931115145235287,False
PANEL_1X4,neg_zscore_mid_50,-5.435011660327778e-05,29948,-0.009381415723471065,0.9925148230321998,-0.017071592793638672,29921,-1.198833187264831,0.23059281526247877,-0.10447617223943985,29651,-3.4741771376511537,0.0005124226280979194,-0.04887077327603864,26951,-1.4646781124300259,0.14300875927118906,True
PANEL_1X4,neg_zscore_vwap_50,-0.008831489723245201,26965,-1.4562338803293315,0.14532797660190067,-0.04787277679582383,26938,-3.361402738753455,0.000775476624963245,-0.10063832734038052,26668,-3.5310226579583484,0.0004139562861877888,-0.03387167103629818,24289,-1.0326368061830316,0.30177389694221946,True
PANEL_1X4,obi_l1,0.02226663129302765,29997,4.1336987273464825,3.5697135168488714e-05,0.006375770100288796,29970,1.1904117381040866,0.23388460173486036,0.003546004770721317,29700,0.638387101144945,0.5232217254278759,-0.004585769839740625,27000,-0.8249059557328698,0.40942498480970957,True
PANEL_1X4,obi_l3,-0.03485286652050524,29997,-5.978537497648737,2.251497877026054e-09,-0.012810040671562196,29970,-2.1383454651969185,0.03248871508762985,-0.01017368684827993,29700,-1.8997129004072693,0.057470806456826784,-0.0060363045358154625,27000,-0.8859909239626983,0.3756224179875769,True
PANEL_1X4,momentum_10,-0.0010532878892737171,29987,-0.17840429743190506,0.8584054745831984,0.004118031338911541,29960,0.3101889310713831,0.7564172874189612,0.057354912755916816,29690,3.110642208295084,0.0018668098246878984,0.025263552516517275,26990,1.254955700866632,0.20949484177969335,True
PANEL_1X4,neg_spread,0.008723417414071587,29997,1.4786513633091976,0.139233517478494,0.013057985291191128,29970,1.2681962723016538,0.204727867918574,0.04241085535151928,29700,1.4065851404297873,0.1595504418869722,0.1486089691767852,27000,1.8084906825994889,0.070530165657682,False
PANEL_1X4,trade_imbalance,0.003358700035463673,29997,0.582563473512164,0.5601872004730153,0.017408587042910654,29970,1.2186727206084134,0.22296843579621273,0.008313304428692946,29700,0.2987535555235004,0.765128090629928,-0.032653738466044774,27000,-1.197666734216522,0.23104678476850804,False
PANEL_2X2,neg_zscore_mid_50,0.0017477748406836688,29948,0.3038506380503481,0.7612416858513056,-0.007638936810944956,29921,-0.5419058197042135,0.587883387423795,-0.0004150350016513296,29651,-0.014936060186305942,0.9880831912584265,-0.018541400434797375,26951,-0.39626183622719013,0.6919118780437103,False
