a,b,coint_t,coint_p
ROBOT_VACUUMING,ROBOT_MOPPING,-2.6003347274134994,0.23669514870664682
ROBOT_VACUUMING,ROBOT_DISHES,-3.05491683960591,0.09772147845127038
ROBOT_VACUUMING,ROBOT_LAUNDRY,-3.1987484311046432,0.07013735465500769
ROBOT_VACUUMING,ROBOT_IRONING,-2.5666193595692293,0.2505037168895655
ROBOT_MOPPING,ROBOT_DISHES,-1.9090380706649117,0.5754158712546666
ROBOT_MOPPING,ROBOT_LAUNDRY,-2.610765972502865,0.23251457635152
ROBOT_MOPPING,ROBOT_IRONING,-2.530488281610729,0.2657908514472765
ROBOT_DISHES,ROBOT_LAUNDRY,-2.5515089758615557,0.2568364722371851
ROBOT_DISHES,ROBOT_IRONING,-2.471049450139504,0.2919841615057897
ROBOT_LAUNDRY,ROBOT_IRONING,-2.6157546860930916,0.23053076430217484
