family,product,n_spikes,mechanism,rationale,acf_lag1,p_snap_h50,n_ret,ret_std,p_zero,n_unique_jumps,dominant_jump_size,dominant_jump_share,top3_share,spread_mean,spread_n_unique,spread_dominant,spread_locked_share,trade_at_spike_rate,n_spike_with_trade,n_spike_no_trade,spike_trade_qty_mean,reversion_pct_h1,reversion_pct_h5,reversion_pct_h10,reversion_pct_h20,reversion_pct_h50,reversion_pct_h100,reversion_pct_h200,reversion_pct_h500,snap_back_h_50pct
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,0,INSUFFICIENT_DATA,n_spikes=0 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,INSUFFICIENT_DATA,n_spikes=3 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_SUEDE,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,4,INSUFFICIENT_DATA,n_spikes=4 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_NYLON,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_COTTON,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCHIP,MICROCHIP_CIRCLE,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCHIP,MICROCHIP_OVAL,5,PRICE_DISCOVERY_BREAKOUT,"reversion_h50=-0.90: post-spike price continues away (spike was real information, not noise)",-0.007102813839520387,0.0,29997.0,12.478011055304409,0.022435576891022435,104.0,1.0,0.04467113378004467,0.12844617795112845,7.449766666666667,9.0,9.0,0.28746666666666665,0.2,1.0,4.0,2.0,0.06137783564550433,0.23059332186131032,0.2820838219095334,-0.4020629590712737,-0.904397820315633,-0.6944804594900533,-2.121527479555941,-3.722086892959935,
MICROCHIP,MICROCHIP_SQUARE,10,PRICE_DISCOVERY_BREAKOUT,"reversion_h50=-2.18: post-spike price continues away (spike was real information, not noise)",-0.023888311894658523,0.3,29997.0,20.707524247737695,0.014868153482014868,162.0,2.0,0.02896956362302897,0.08434176751008435,11.7188,12.0,13.0,0.3380666666666667,0.0,0.0,10.0,,0.1782461643779592,-0.4256485668987945,-3.0228999609731444,-3.6786883148007457,-2.180595242260501,1.2917604329328136,-4.863868359688301,6.135842812882837,100.0
MICROCHIP,MICROCHIP_RECTANGLE,18,PRICE_DISCOVERY_BREAKOUT,"reversion_h50=-0.34: post-spike price continues away (spike was real information, not noise)",-0.0027367194451513354,0.4444444444444444,29997.0,13.130331963193719,0.021435476881021435,103.0,1.0,0.039703970397039705,0.11624495782911624,7.885766666666667,8.0,8.0,0.473,0.0,0.0,18.0,,0.09330128241737988,0.2859467164524884,0.5610637003467743,-0.5220437821938768,-0.34220213677167577,-0.18121046555972525,-0.16770361813317775,-0.291398577296605,10.0
MICROCHIP,MICROCHIP_TRIANGLE,17,HEAVY_TAIL_GAUSSIAN,"diffuse jumps (unique=111, top1=3.99%), trade_rate=0.00%, acf1=-0.007: no clear structure",-0.006892988076197012,0.5625,29997.0,14.504033623110104,0.021335466880021334,111.0,1.0,0.03993732706603994,0.11331133113311331,8.635433333333333,8.0,9.0,0.5102333333333333,0.0,0.0,17.0,,-0.2119002506823904,0.12659112546589465,0.06334527860822922,0.6964686435101345,0.2044294751890735,-0.3808279509444821,0.14587819007038003,0.3797255109199912,20.0
PEBBLES,PEBBLES_XS,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_S,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_M,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_L,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_XL,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT,ROBOT_VACUUMING,0,INSUFFICIENT_DATA,n_spikes=0 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT,ROBOT_MOPPING,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT,ROBOT_DISHES,117,FAST_NOISE_OSCILLATOR,"unique_jumps=80, acf_lag1=-0.232: granular oscillator with strong tick-MR",-0.23172780306255572,0.4444444444444444,29997.0,17.779549455771743,0.2737273727372737,80.0,2.0,0.052505250525052505,0.12577924459112577,7.350266666666666,7.0,8.0,0.4756666666666667,0.03418803418803419,4.0,113.0,2.5,0.2918009317275828,0.36719310874700867,0.43892201636433353,0.49646268681643657,0.4137184411168644,0.45656063758599774,0.4155910713615936,0.41299881180105646,500.0
ROBOT,ROBOT_LAUNDRY,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT,ROBOT_IRONING,50,QUANTIZED_QUOTE_REFRESH,"spread_locked=0.72, top_jump=43.59%, unique_jumps=28, trade_at_spike=0.00%: MM repricing in discrete steps",-0.1253820092438718,0.48,29997.0,10.443724191983174,0.4039070573724039,28.0,10.0,0.4358769210254359,0.5442544254425442,6.392933333333334,4.0,6.0,0.7242666666666666,0.0,0.0,50.0,,0.2295918367346939,0.3496078431372549,0.38619967987194875,0.4217918367346939,0.484878431372549,0.5564,0.69655,0.68753837535014,100.0
UV_VISOR,UV_VISOR_AMBER,4,INSUFFICIENT_DATA,n_spikes=4 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_MAGENTA,4,INSUFFICIENT_DATA,n_spikes=4 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_ORANGE,4,INSUFFICIENT_DATA,n_spikes=4 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_RED,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_YELLOW,3,INSUFFICIENT_DATA,n_spikes=3 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,3,INSUFFICIENT_DATA,n_spikes=3 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_SPACE_GRAY,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PANEL,PANEL_1X2,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PANEL,PANEL_1X4,3,INSUFFICIENT_DATA,n_spikes=3 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PANEL,PANEL_2X2,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PANEL,PANEL_2X4,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
PANEL,PANEL_4X4,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,60,QUANTIZED_QUOTE_REFRESH,"spread_locked=0.66, top_jump=17.00%, unique_jumps=82, trade_at_spike=1.67%: MM repricing in discrete steps",-0.08895198835804964,0.5,29997.0,10.890280858021287,0.15864919825315865,82.0,10.0,0.16998366503316997,0.2516918358502517,12.185466666666667,9.0,12.0,0.6645333333333333,0.016666666666666666,1.0,59.0,3.0,0.2918068564874949,0.4113869584711379,0.3842772986360878,0.4889526388446427,0.46658131742937076,0.40389206727069904,0.3103904460502079,0.1453365254943678,20.0
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,0,INSUFFICIENT_DATA,n_spikes=0 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,0,INSUFFICIENT_DATA,n_spikes=0 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,56,QUANTIZED_QUOTE_REFRESH,"spread_locked=0.93, top_jump=43.24%, unique_jumps=21, trade_at_spike=3.57%: MM repricing in discrete steps",-0.12266159927678943,0.42857142857142855,29997.0,10.983313583575043,0.3918058472513918,21.0,10.0,0.43244324432443243,0.5570557055705571,11.860466666666667,6.0,12.0,0.9341,0.03571428571428571,2.0,54.0,4.0,0.2404237601776462,0.3412273316062176,0.3647987601776462,0.4016737601776462,0.35265590303478905,0.349530903034789,0.4089285714285714,0.270909090909091,200.0
SNACKPACK,SNACKPACK_CHOCOLATE,3,INSUFFICIENT_DATA,n_spikes=3 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_VANILLA,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_RASPBERRY,2,INSUFFICIENT_DATA,n_spikes=2 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_STRAWBERRY,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_PISTACHIO,1,INSUFFICIENT_DATA,n_spikes=1 < 5,,,,,,,,,,,,,,,,,,,,,,,,,,
