family,product,vr_k5,hurst,acf_ret1_lag1,ret1_std,spread_median,limit10_saturation,adf_p_mid,vwap_hurst,vwap_adf_p,vr_k5_dev_from_1,hurst_dev_from_half,acf_ret1_lag1_abs,spread_to_std,max_within_family_abs_corr,ic_neg_zscore_max_abs,ic_momentum_max_abs,ic_short_horizon_max_abs,ic_overall_max_abs,ic_obi_max_abs_short
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,0.9853747566488136,0.5304142115130109,-0.0120731510561104,10.245710490999132,13.0,1.0,0.0705128040496123,0.4934766186689434,0.0785187446798424,0.014625243351186423,0.030414211513010936,0.0120731510561104,1.2688236712739946,0.4342114192406013,0.060047054853151,0.0352529765934585,0.0524246889771766,0.1312211724295772,0.0524246889771766
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,0.9809568275417287,0.546178320455973,-0.0165868056004838,11.479686881661436,14.0,1.0,0.8857703583691863,0.5267840222221931,0.7949891700849487,0.01904317245827125,0.04617832045597303,0.0165868056004838,1.2195454583665266,0.4653458919494131,0.0325721588695421,0.0267699589137806,0.0587543870752197,0.0587543870752197,0.0587543870752197
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,1.0030538055609273,0.5373317107535347,-0.0040049924518987,10.879123127728125,14.0,1.0,0.7408954368720211,0.6985639673291275,0.7663148339126782,0.0030538055609272696,0.0373317107535347,0.0040049924518987,1.2868684208856458,0.4342114192406013,0.0303696854257173,0.0171187388213486,0.0588763319119125,0.1084611808869501,0.0588763319119125
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,0.9816373852434404,0.5335536951756683,-0.0078169009303676,10.53915707167472,14.0,1.0,0.3977943877320794,0.5331121002677885,0.3651825641629683,0.018362614756559648,0.03355369517566831,0.0078169009303676,1.3283794809004905,0.4653458919494131,0.0464129018531941,0.0294443668734992,0.0645788919593902,0.1568841445407469,0.0645788919593902
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,0.981379037046133,0.5458326844798775,-0.0121298916115567,11.094554640497751,14.0,1.0,0.0639328196460205,0.5957513032397364,0.0352929381595088,0.01862096295386695,0.04583268447987754,0.0121298916115567,1.2618803055777188,0.3352198437009764,0.0355945658503489,0.0155037209916663,0.0539905980426026,0.1798441525217397,0.0539905980426026
SLEEP_POD,SLEEP_POD_SUEDE,0.9868298293964276,0.5268134212617102,-0.0062302904672133,11.42170189812306,10.0,0.5524,0.4826248108935244,0.5479491530315841,0.4788051202962283,0.013170170603572395,0.026813421261710157,0.0062302904672133,0.8755262647542317,0.8596166475986862,0.0362677451747507,0.0205395667117724,0.0402631899160623,0.1621182311266362,0.0402631899160623
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.022796838415713,0.5420556840554993,0.0034809336160859,10.712462882120464,10.0,0.5506333333333333,0.1017739345121216,0.6439145506928327,0.0543006288959658,0.022796838415712894,0.04205568405549931,0.0034809336160859,0.9334921492881348,0.4931730176167506,0.0580261682470157,0.0237143378538121,0.0345950779131405,0.1455652605302418,0.0345950779131405
SLEEP_POD,SLEEP_POD_POLYESTER,0.9998674747840348,0.5306616830959605,-0.0017515635633955,11.890822208857308,11.0,0.5509666666666667,0.3364465936156609,0.4590862009472512,0.2675067753895906,0.00013252521596518463,0.030661683095960512,0.0017515635633955,0.9250832118073595,0.8752369904279041,0.0624754715864152,0.0157512962496263,0.0420031783145609,0.2161800644418171,0.0420031783145609
SLEEP_POD,SLEEP_POD_NYLON,0.997879321314705,0.540384635442291,5.023621987989763e-05,9.620981727801189,9.0,0.5895666666666667,0.7515775201192969,0.4458892172524001,0.7779096510116115,0.0021206786852949744,0.040384635442290984,5.023621987989763e-05,0.9354554716587005,0.4931730176167506,0.0483361452924797,0.0222985195126495,0.0488638151583284,0.0876724730689181,0.0488638151583284
SLEEP_POD,SLEEP_POD_COTTON,0.9852718226827356,0.5584278871616178,-0.0031768085056603,11.676551884168802,10.0,0.5506,0.3876808812472755,0.515967230599285,0.307438223539422,0.01472817731726439,0.05842788716161784,0.0031768085056603,0.8564172111081962,0.8752369904279041,0.0301383364091278,0.0188254258278895,0.0507207272859385,0.2058992841775222,0.0507207272859385
