family,n_spikes_total,spike_rate_per_10k_mean,z_mean,spread_widen_x_mean,depth_drop_x_mean,systemic_rate_mean,post_h1_family_mean,post_h5_family_mean,post_h10_family_mean,post_h50_family_mean,post_h200_family_mean
GALAXY_SOUNDS,8,0.5333333333333334,4.384814320581306,1.0214980793290684,0.9197687751509973,0.0,6.875,-1.020833333333334,-23.541666666666664,-76.66666666666667,-86.95833333333333
SLEEP_POD,10,0.6666666666666667,4.168893101550926,0.9418941380584916,0.921330821387871,0.0,-0.275,-15.075,-13.2,-23.925,-77.575
MICROCHIP,52,3.4666666666666663,5.501722332794658,0.9958989354559045,1.0041626306782099,0.0,2.3148366013071895,1.6031372549019607,-6.108823529411764,-8.980694444444445,-39.908888888888896
PEBBLES,7,0.4666666666666667,4.094518003743219,1.0741493429761084,1.0302389113468853,0.0,-0.75,-9.0,-15.25,-7.35,-41.875
ROBOT,170,11.333333333333334,4.615742399233258,1.0834258289754917,0.9514235980762316,0.0,13.563076923076924,14.685833333333333,11.736260683760683,23.946004273504272,-28.75038793103448
UV_VISOR,17,1.1333333333333333,4.274489541074828,1.0390792892871494,0.9547856980637583,0.0,-2.225,-3.166666666666667,-3.075,10.725,14.375
TRANSLATOR,9,0.6,4.1553633588597645,1.0091982016000203,0.980489615286763,0.0,-2.1,-12.333333333333332,-25.333333333333336,-54.75,-63.56666666666666
PANEL,9,0.6,4.250044169740128,0.9219297535774803,0.9611270304107654,0.0,-2.0833333333333335,-0.15,-5.75,14.483333333333334,36.166666666666664
OXYGEN_SHAKE,118,7.866666666666667,5.148463131027992,1.0683855140157796,0.9739028678962073,0.0,16.733531746031748,29.835714285714285,33.805952380952384,13.259523809523811,-7.5597222222222245
SNACKPACK,8,0.5333333333333334,4.2177441886805465,0.8380693165431936,0.8566234908085317,0.0,4.883333333333334,10.966666666666667,11.016666666666666,39.75,56.73333333333333
