product,day,ts,row_idx,sign,abs_ret,baseline_std,z,spread,depth_l1,n_ticks_day,family
GALAXY_SOUNDS_BLACK_HOLES,3,355200,3552,-1,50.0,10.775199015686708,4.640285523006043,14.0,40.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_BLACK_HOLES,3,577400,5774,1,45.0,10.486170681001843,4.291366349922956,14.0,38.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_BLACK_HOLES,4,883000,8830,1,51.5,12.371732721857585,4.16271521199396,18.0,34.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_PLANETARY_RINGS,2,310500,3105,1,46.0,9.70144587699218,4.741561266562646,13.0,32.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_PLANETARY_RINGS,2,884000,8840,1,45.0,10.843420980350919,4.149981825988618,14.0,50.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_SOLAR_WINDS,2,506200,5062,-1,41.5,10.117954586279764,4.101619516683262,13.0,28.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_SOLAR_WINDS,2,507500,5075,-1,41.0,10.168246775377236,4.0321602047742315,13.0,32.0,10000,GALAXY_SOUNDS
GALAXY_SOUNDS_SOLAR_FLAMES,4,533200,5332,1,51.0,10.939964197074264,4.661806847013193,15.0,26.0,10000,GALAXY_SOUNDS
SLEEP_POD_SUEDE,4,719100,7191,1,46.0,11.211260219592772,4.1030177784661985,10.0,14.0,10000,SLEEP_POD
SLEEP_POD_LAMB_WOOL,2,284300,2843,1,52.0,11.48729803008806,4.526739000224353,6.0,19.0,10000,SLEEP_POD
SLEEP_POD_LAMB_WOOL,2,714400,7144,1,42.0,9.66111662017892,4.347323570473801,9.0,22.0,10000,SLEEP_POD
SLEEP_POD_LAMB_WOOL,2,881400,8814,-1,44.5,10.475879538454437,4.24785335079992,9.0,14.0,10000,SLEEP_POD
SLEEP_POD_LAMB_WOOL,3,786400,7864,-1,41.0,10.041703172530573,4.082972708470105,9.0,22.0,10000,SLEEP_POD
SLEEP_POD_POLYESTER,2,661300,6613,1,43.0,10.62655651689736,4.046466033622972,10.0,28.0,10000,SLEEP_POD
SLEEP_POD_NYLON,4,364400,3644,-1,44.0,10.002329388016232,4.398975307963393,9.0,18.0,10000,SLEEP_POD
SLEEP_POD_NYLON,4,923600,9236,1,41.0,10.062092745589364,4.074699074700143,10.0,26.0,10000,SLEEP_POD
SLEEP_POD_COTTON,2,336900,3369,1,40.5,10.110353579326423,4.0057946225356655,9.0,26.0,10000,SLEEP_POD
SLEEP_POD_COTTON,4,343300,3433,-1,57.0,13.23104398942504,4.308050071147632,6.0,11.0,10000,SLEEP_POD
MICROCHIP_CIRCLE,3,33600,336,-1,39.0,9.578127033638552,4.071777275769189,8.0,16.0,10000,MICROCHIP
MICROCHIP_CIRCLE,4,353400,3534,1,38.0,9.061770819258287,4.193440858076162,9.0,16.0,10000,MICROCHIP
MICROCHIP_OVAL,2,355100,3551,-1,59.0,14.58732944581429,4.044605986254019,9.0,8.0,10000,MICROCHIP
MICROCHIP_OVAL,3,262600,2626,-1,60.0,13.890528015056654,4.319490226358777,9.0,14.0,10000,MICROCHIP
MICROCHIP_OVAL,3,330400,3304,1,53.0,13.160601005944796,4.027171705612782,8.0,8.0,10000,MICROCHIP
MICROCHIP_OVAL,4,664100,6641,-1,35.0,8.565290620102331,4.086259480543095,6.0,20.0,10000,MICROCHIP
MICROCHIP_OVAL,4,681200,6812,-1,45.0,8.645133641034246,5.20524052819807,6.0,36.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,10200,102,1,11.0,1.3845684175837236,7.9447139341778605,9.0,10.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,10300,103,1,8.0,1.74865092077011,4.574955415616503,9.0,16.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,10400,104,-1,14.0,1.9010226991000958,7.364457040216987,9.0,8.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,10500,105,1,15.0,2.355133390284795,6.369065999351366,9.0,8.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,10900,109,1,54.0,3.0114297095917246,17.931682027312224,10.0,10.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,11100,111,1,34.0,5.914037033055928,5.749034003331454,9.0,8.0,10000,MICROCHIP
MICROCHIP_SQUARE,2,11400,114,1,36.5,6.829138205852895,5.34474466613046,10.0,10.0,10000,MICROCHIP
MICROCHIP_SQUARE,3,486100,4861,1,93.0,21.76308256026819,4.273291696727999,13.0,8.0,10000,MICROCHIP
MICROCHIP_SQUARE,3,546700,5467,1,89.0,21.948985555917353,4.054857103680857,13.0,16.0,10000,MICROCHIP
MICROCHIP_SQUARE,4,845500,8455,-1,98.5,22.94071148606715,4.29367677021801,13.0,12.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,15100,151,-1,6.0,1.1918299429765102,5.034275263310995,9.0,8.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,15200,152,-1,9.0,1.286257812861754,6.997042047096443,9.0,12.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,15400,154,1,6.0,1.4733908622476712,4.072239182240445,9.0,14.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,15500,155,-1,21.0,1.5471846170927612,13.573040843348139,9.0,10.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,15600,156,1,19.0,2.2852828719385854,8.314069226748488,9.0,14.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,16000,160,1,16.5,2.7812356738073274,5.932614828506278,4.0,9.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,16300,163,-1,15.0,3.138248314660911,4.779736495013702,9.0,10.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,16500,165,1,18.0,3.358636783643197,5.35931723479636,9.0,12.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,17000,170,-1,28.0,3.609122372517003,7.758118764056424,9.0,12.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,17300,173,1,35.0,4.2288214004089255,8.27653775981542,9.0,14.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,19300,193,1,23.0,5.741565989043799,4.0058757565251675,9.0,8.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,19900,199,-1,28.5,6.064739543746039,4.699294964676465,4.0,10.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,20400,204,1,48.0,6.656415670618945,7.211088125380957,9.0,14.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,22800,228,-1,39.5,7.969988123801703,4.956092705086543,4.0,9.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,27300,273,1,51.0,9.591852395657149,5.317012595303384,9.0,10.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,2,218000,2180,1,61.0,14.274225408828446,4.27343678924057,9.0,14.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,3,215000,2150,-1,54.0,12.677899442278953,4.2593806841469215,8.0,12.0,10000,MICROCHIP
MICROCHIP_RECTANGLE,4,305600,3056,1,52.5,13.039106395423822,4.026349537145068,7.0,10.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,20100,201,-1,22.0,1.3483448815484824,16.316300303476137,9.0,10.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,20400,204,-1,19.0,2.091129716025641,9.085997800323462,9.0,14.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,20600,206,1,23.0,2.5139329583696997,9.149010884886778,9.0,10.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,20800,208,1,16.0,3.0276464812803074,5.2846328324415355,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,20900,209,1,29.0,3.2242020940755407,8.994473408874521,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,21200,212,1,25.0,3.839437115519172,6.511371132749879,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,21700,217,-1,24.0,4.346738731152268,5.521380852268958,9.0,14.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,23900,239,-1,31.0,5.293174622602514,5.856598772998371,9.0,14.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,24000,240,1,27.5,5.657562778773175,4.860750304561939,10.0,10.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,24800,248,-1,28.0,6.343340559562709,4.414077998348907,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,27800,278,1,36.0,7.901409445725897,4.556149158866011,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,29900,299,-1,36.0,8.809817054181375,4.08635046319304,9.0,8.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,2,38500,385,-1,45.0,10.266032613832069,4.383387594090504,9.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,3,101600,1016,-1,59.0,14.649817688853098,4.027353872457574,9.0,12.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,3,992400,9924,1,55.0,13.636649714312568,4.033248719608443,8.0,16.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,4,468500,4685,1,52.5,12.73208950669183,4.123439437996932,8.0,10.0,10000,MICROCHIP
MICROCHIP_TRIANGLE,4,995100,9951,-1,50.0,11.801508174397865,4.236746631118704,8.0,19.0,10000,MICROCHIP
PEBBLES_XS,2,456200,4562,1,62.5,14.934755768331762,4.184869238540039,13.0,30.0,10000,PEBBLES
PEBBLES_XS,3,953500,9535,1,63.0,15.269128743486666,4.125972153249008,9.0,56.0,10000,PEBBLES
PEBBLES_S,3,989200,9892,1,59.5,14.670118054312125,4.055863748315959,12.0,22.0,10000,PEBBLES
PEBBLES_M,2,706300,7063,-1,64.5,15.510972908271183,4.158346506143761,13.0,30.0,10000,PEBBLES
PEBBLES_M,4,469000,4690,-1,62.0,14.644183152378336,4.233762945660147,14.0,22.0,10000,PEBBLES
PEBBLES_L,4,220300,2203,-1,59.0,14.741613525617819,4.002275591981192,15.0,20.0,10000,PEBBLES
PEBBLES_XL,3,200800,2008,1,121.0,29.781131401865057,4.062975256622464,17.0,20.0,10000,PEBBLES
ROBOT_MOPPING,2,94200,942,-1,43.0,10.6913298081264,4.0219505685173065,8.0,16.0,10000,ROBOT
ROBOT_MOPPING,3,576300,5763,1,46.5,11.254410135364255,4.13171365186746,9.0,20.0,10000,ROBOT
ROBOT_DISHES,2,435300,4353,-1,36.0,8.938542335199637,4.027502320846362,7.0,16.0,10000,ROBOT
ROBOT_DISHES,4,86600,866,-1,48.5,10.301946962707826,4.7078479607365376,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,115300,1153,1,100.0,10.66299854994609,9.37822503975728,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,115600,1156,-1,100.0,11.520527118590557,8.68015837909283,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,115900,1159,1,100.0,12.356369196468634,8.092992238252263,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,116300,1163,-1,100.0,13.120169843162357,7.621852551864297,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,116400,1164,1,100.0,13.863676787495312,7.213093722020228,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,117200,1172,-1,100.0,14.51344822427522,6.8901613493022165,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,118500,1185,1,98.0,15.126658838462332,6.478628297665896,4.0,11.0,10000,ROBOT
ROBOT_DISHES,4,120200,1202,-1,100.0,15.639742135602377,6.393967313077341,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,120300,1203,1,100.0,16.26556907934518,6.147955814652985,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,120400,1204,-1,100.0,16.87154533776229,5.927139334188769,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,121600,1216,1,100.0,17.34640595625499,5.764882953401694,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,121700,1217,-1,100.0,17.91488658414129,5.581949934783429,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,122200,1222,1,100.0,18.39287774938462,5.436887112640421,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,122300,1223,-1,100.0,18.929973687451746,5.282627522418996,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,123200,1232,1,100.0,19.384068076396687,5.158875815225111,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,123400,1234,-1,100.0,19.893383558832774,5.0267969601179,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,124400,1244,1,100.0,20.27691807976813,4.931715934670458,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,124900,1249,-1,100.0,20.755417864776497,4.818019114407112,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,138400,1384,1,100.0,21.088690469810185,4.741878123876702,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,139300,1393,-1,100.0,21.479092201571447,4.65569024340255,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,141400,1414,1,100.0,21.824992820691755,4.58190299632962,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,141500,1415,-1,100.0,22.2766015800416,4.489015060968436,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,145300,1453,-1,100.0,22.437341366016394,4.456856022677448,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,145500,1455,1,102.0,22.870883796899996,4.459818907996264,4.0,9.0,10000,ROBOT
ROBOT_DISHES,4,145600,1456,-1,102.0,23.32507110136575,4.372977023595337,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,146600,1466,1,100.0,23.707687041331123,4.218041170598533,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,146800,1468,-1,100.0,24.1276306362693,4.144625782262985,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,147100,1471,-1,100.0,24.910020438298982,4.014448733500463,4.0,8.0,10000,ROBOT
ROBOT_DISHES,4,330100,3301,1,100.0,24.945150250942223,4.00879525655384,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,335300,3353,1,100.0,24.128413970284942,4.144491226118459,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,335500,3355,-1,100.0,24.121768580244616,4.145633006441268,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,340200,3402,-1,100.0,24.127749513644762,4.144605361699725,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,340300,3403,1,100.0,24.540343455498462,4.0749225935382825,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,340400,3404,-1,100.0,24.944507550036466,4.008898544074638,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,393700,3937,1,100.0,22.800696118473507,4.385831006228723,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,396000,3960,1,100.0,21.915487153022802,4.562983213731893,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,396100,3961,-1,100.0,22.37071518292587,4.470129773782269,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,396200,3962,1,100.0,22.8115921731682,4.383736095265789,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,396700,3967,-1,100.0,23.24928080858054,4.301208317940454,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,397000,3970,1,100.0,23.67380192946604,4.224078595315657,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,397400,3974,-1,100.0,24.095834047338403,4.150094983371031,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,398800,3988,1,100.0,24.50536729069987,4.080738673031496,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,402400,4024,1,100.0,24.0951686922631,4.1502095825587535,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,403700,4037,-1,100.0,21.936691566271932,4.558572549461006,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,403900,4039,1,100.0,22.38790827374782,4.466696878388614,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,404200,4042,-1,102.0,22.83213956672452,4.467386847470679,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,404400,4044,1,100.0,23.283389625759572,4.294907296889669,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,404700,4047,-1,100.0,23.283389625759572,4.294907296889669,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,404800,4048,1,100.0,23.283389625759572,4.294907296889669,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,404900,4049,-1,100.0,23.710680985276863,4.217508559205657,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,411800,4118,1,100.0,19.53835957776339,5.118136945018148,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,412100,4121,-1,100.0,20.04563930910211,4.988616150276288,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,414900,4149,1,100.0,20.538053053940907,4.86901069626031,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,423800,4238,1,100.0,20.538443351690987,4.868918169096137,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,423900,4239,-1,100.0,21.017789964455787,4.757874170838842,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,424400,4244,1,100.0,21.492040750735164,4.652885277847771,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,424500,4245,-1,100.0,21.950573006430144,4.555689729407349,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,424600,4246,1,100.0,22.40508817103611,4.46327187987922,8.0,8.0,10000,ROBOT
ROBOT_DISHES,4,424700,4247,-1,100.0,22.845301828412357,4.3772676216355135,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,425100,4251,1,100.0,23.282356759412128,4.295097830230352,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,425300,4253,-1,100.0,23.70628557897467,4.2182905317183454,8.0,16.0,10000,ROBOT
ROBOT_DISHES,4,425400,4254,1,100.0,24.127616287886156,4.144628247018641,8.0,12.0,10000,ROBOT
ROBOT_DISHES,4,425500,4255,-1,100.0,24.53675007429499,4.075519361659932,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,426300,4263,1,100.0,24.53675007429499,4.075519361659932,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,427100,4271,-1,100.0,24.93775819048562,4.009983545279242,8.0,14.0,10000,ROBOT
ROBOT_DISHES,4,430100,4301,1,100.0,24.937436746847187,4.010035233979807,8.0,10.0,10000,ROBOT
ROBOT_DISHES,4,588400,5884,1,100.0,24.146679362771494,4.141356188055261,8.0,12.0,10000,ROBOT
