day,leader,follower,lag,corr
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,1,-0.0026576527522885023
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.004209717999855506
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,1,0.0006978441764129829
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.006947744191810582
2,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_CIRCLE,1,-0.0005415093445991647
2,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,1,0.008801976097253956
2,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_RECTANGLE,1,-0.0012426758406300876
2,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_SQUARE,1,0.0017676971030656384
2,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,1,0.01061376465265286
2,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_CHOCOLATE,1,0.008048079046015346
2,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,1,0.006688455549925882
2,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,1,-0.007293004332572603
2,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MINT,1,-0.00012031182378443628
2,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MORNING_BREATH,1,-0.004603548489567305
2,GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X2,1,0.005731479189323945
2,GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X4,1,-0.01470813882396814
2,GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X2,1,0.008577538280093644
2,GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,1,-0.018329548934873673
2,GALAXY_SOUNDS_BLACK_HOLES,PANEL_4X4,1,0.0007598451296763724
2,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_L,1,0.0018571484005987897
2,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_M,1,-0.004212274032085329
2,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,1,0.004963689480706455
2,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XL,1,-0.00328417472954037
2,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XS,1,0.004967457082542553
2,GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,1,0.008496055680105875
2,GALAXY_SOUNDS_BLACK_HOLES,ROBOT_IRONING,1,0.0022639546870942702
2,GALAXY_SOUNDS_BLACK_HOLES,ROBOT_LAUNDRY,1,0.007609445981606123
2,GALAXY_SOUNDS_BLACK_HOLES,ROBOT_MOPPING,1,0.00033214247284116353
2,GALAXY_SOUNDS_BLACK_HOLES,ROBOT_VACUUMING,1,-0.0069887833470798095
2,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_COTTON,1,-0.00624275558358372
2,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_LAMB_WOOL,1,0.0005760685740900717
2,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_NYLON,1,-0.006203104401090485
2,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,1,-0.013718534340493707
2,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_SUEDE,1,0.0030970641695261254
2,GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_CHOCOLATE,1,-0.01152033935674237
2,GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_PISTACHIO,1,-0.0027476920649557686
2,GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_RASPBERRY,1,-0.0015427667396062928
