product,family,rv_50_mean,vol_of_vol,vol_cluster_lag1,hurst,acf_ret1_lag1,kurt_ret1,spread_rel,depth_l1_mean,abs_obi_mean,limit10_saturation,adf_p_mid,vr_k2,vr_k5,vr_k10,half_life
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10.192760139920964,0.1035694398441821,-0.0035878188041235395,0.5304142115130109,-0.012073151056110466,-0.007564181047352125,0.0012762457664656922,36.5128,0.02115758686221107,1.0,0.07051280404961233,0.9879350974365351,0.9853747566488135,0.9914745274397164,1421.804528460307
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,11.372523666786321,0.13284398813294923,0.023910684193356607,0.546178320455973,-0.01658680560048387,0.11319098236221103,0.0012663131154970694,36.5128,0.02115758686221107,1.0,0.8857703583691863,0.9834381614409327,0.9809568275417287,0.9979754654285821,17832.234795801083
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10.787593324676637,0.12398834481267161,0.005391539522897118,0.5373317107535347,-0.004004992451898781,0.06957795648825993,0.0012719923938570778,36.5128,0.02115758686221107,1.0,0.7408954368720211,0.9960093789534651,1.0030538055609273,1.0214165088790879,8445.996169630847
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10.472126311555291,0.11469758978910559,0.011514754265152338,0.5335536951756683,-0.007816900930367607,0.049956269161928635,0.0012746117495763655,36.5128,0.02115758686221107,1.0,0.3977943877320794,0.9922155407573074,0.9816373852434405,0.9750747423277152,3491.7637705153747
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,11.028991619246048,0.11033666374023883,0.01026527257832983,0.5458326844798775,-0.012129891611556757,0.009170688479358091,0.0012687310711659904,36.5128,0.02115758686221107,1.0,0.06393281964602057,0.9877975476678752,0.981379037046133,0.9885125668730599,1750.765319472865
SLEEP_POD_SUEDE,SLEEP_POD,11.334795211493523,0.12734435961455554,0.016812313899673716,0.5268134212617102,-0.00623029046721332,0.054603105109750416,0.0008735774177938337,21.8194,0.017338536138129027,0.5524,0.4826248108935244,0.9938024917069321,0.9868298293964276,0.989663702716884,5905.183766982609
SLEEP_POD_LAMB_WOOL,SLEEP_POD,10.637219029180773,0.11047275793467472,0.002499178522902738,0.5420556840554993,0.003480933616085996,0.05478677999327486,0.0008785382685424225,21.7455,0.015476977176851007,0.5506333333333333,0.10177393451212163,1.003477910289793,1.0227968384157127,1.0413111278316176,1809.6730640289843
SLEEP_POD_POLYESTER,SLEEP_POD,11.801668461741592,0.1259885634979314,0.009271000989592753,0.5306616830959605,-0.0017515635633955353,0.053638018262506026,0.000870174227671664,21.752133333333333,0.01568318000315761,0.5509666666666667,0.3364465936156609,0.9982790215610201,0.9998674747840348,1.0001839750580803,5220.264668255792
SLEEP_POD_NYLON,SLEEP_POD,9.559129244156816,0.11405887091550423,0.004520432308997098,0.540384635442291,5.023621987989763e-05,0.05921736528372268,0.0008890327894023429,23.365433333333332,0.05346197358591347,0.5895666666666667,0.7515775201192969,1.0000073674562269,0.997879321314705,0.9871220463212029,6318.492335164153
SLEEP_POD_COTTON,SLEEP_POD,11.57344811935658,0.12997759537690154,0.01241257277667725,0.5584278871616178,-0.0031768085056603887,0.08652874142077271,0.0008723513209581424,21.739366666666665,0.015345582010009256,0.5506,0.38768088124727557,0.9967671559120104,0.9852718226827357,0.9790345150681098,5112.024192942416
MICROCHIP_CIRCLE,MICROCHIP,9.163219267083983,0.12308441816387349,0.0037172785049238957,0.5366040291845042,-0.005093177813356806,0.06987786989352651,0.0008968778082007988,13.522233333333334,0.06877749514208373,0.1476,0.748877923537567,0.9948139861637139,1.0047509055001946,1.0011669888152217,6561.510423663362
MICROCHIP_OVAL,MICROCHIP,12.200719508022472,0.21767500627243097,0.07504373771154278,0.5367179759020139,-0.007102813839520387,0.4126454009682168,0.00091575212650639,15.544066666666666,0.11234876191382888,0.29686666666666667,0.9458394940477014,0.9929262560686896,0.9895815551598819,0.9771036835141663,110602.38551901498
MICROCHIP_SQUARE,MICROCHIP,20.389068096255162,0.1789179257928398,0.03557192763460635,0.5416690471623012,-0.023888311894658523,0.2503401618584311,0.0008636410212387913,11.914766666666667,0.007507592415635894,0.0006666666666666666,0.30174371342007744,0.9761225781584673,0.9597224514986934,0.9663785305521948,5403.04089939167
MICROCHIP_RECTANGLE,MICROCHIP,12.995638860564954,0.14610565914724505,0.01746187305550278,0.5363313041030455,-0.0027367194451513354,0.09005615309189707,0.0009038158257442912,14.444266666666667,0.10034249575789272,0.22826666666666667,0.2947965310112973,0.9972930831680281,1.0066423901089037,1.0146275618402714,3470.5125298213993
MICROCHIP_TRIANGLE,MICROCHIP,14.338907210760075,0.15272117507001473,0.031179070991432172,0.5647092433771911,-0.006892988076197012,0.08033686099013382,0.0008922997587664338,12.8759,0.04966124105200043,0.09476666666666667,0.818093365150413,0.9931323348639519,0.9721103887603157,0.9601906283702962,8584.53538880698
PEBBLES_XS,PEBBLES,14.987975352297386,0.10015050475430445,0.0032869252932044924,0.5283725619994948,-0.015614797875016049,-0.04459438203021859,0.001320984491413802,26.795333333333332,0.045667800901404085,0.8478666666666667,0.49949191317797154,0.9843764397051487,0.9889283617166165,1.0041394933604064,7490.847781234235
PEBBLES_S,PEBBLES,14.947258603837627,0.09614330718604792,0.0053292804493935,0.5506403429952967,0.007693361055310574,-0.027470615103347917,0.0012942444389069745,24.813633333333332,0.011459297345752116,0.8362333333333334,0.46199190633276693,1.0077183668293064,0.9998377814113236,0.9899864085780229,4033.951663002599
PEBBLES_M,PEBBLES,15.062413234647849,0.1009461863682843,-0.004100001616316994,0.5168729430154579,-0.004771289948066061,-0.01169038740805961,0.0012789008583861004,24.813633333333332,0.011459297345752116,0.8362333333333334,0.3457153750214997,0.9952434670653403,0.9940584897828305,1.0026065570953155,2916.157369982302
PEBBLES_L,PEBBLES,14.956302357045201,0.09851878702126031,0.001184027681728542,0.5346361616992604,0.006861442394415609,-0.017140288966543515,0.001280103966845627,24.813633333333332,0.011459297345752116,0.8362333333333334,0.39986258227923344,1.0068007103506982,1.0140306902223113,1.0081179010325199,2823.130432046597
PEBBLES_XL,PEBBLES,30.172331870412176,0.09970045643313777,-0.0036517753459307327,0.5108733197657247,0.00772694165466353,-0.028525748055954647,0.0012589431698953755,24.813633333333332,0.011459297345752116,0.8362333333333334,0.46887901311773794,1.0077270644469791,1.0149968785546166,1.0268474730880766,4390.491381156955
ROBOT_VACUUMING,ROBOT,9.178050326826172,0.1158349909751343,0.008267953169085431,0.5364350958594929,-0.008079933420657598,0.0612002989369862,0.000737050241729158,17.145466666666668,0.17177491774089085,0.44103333333333333,0.5652110445411407,0.9919491594606642,1.0013161090496265,1.0003118724683069,4847.195461689134
ROBOT_MOPPING,ROBOT,11.072647060768091,0.12054574472216294,-0.0020633650807639825,0.5334882180474949,-0.011016526350276614,0.05240052692326458,0.000718480583529864,14.129333333333333,0.10029652003760187,0.21183333333333335,0.5023083839197696,0.988997226663726,0.9608674465510426,0.945126652262633,5208.086344014138
ROBOT_DISHES,ROBOT,14.61795734392933,0.7067501837678383,0.2073929453458022,0.5254282314966533,-0.23172780306255572,21.935647231063175,0.0007338802519055144,15.233766666666666,0.10915798295000709,0.27703333333333335,0.7993397482390153,0.7682807174149064,0.5554123278040511,0.46091150354800303,1593.2680102784648
ROBOT_LAUNDRY,ROBOT,9.756743996286188,0.11457363751703999,0.008194200102191126,0.5168059906730871,0.005658906860679981,-0.025064851199202653,0.0007298445165023961,16.095133333333333,0.1868407509079357,0.40473333333333333,0.6538496884939331,1.0056761534678424,1.010116481983582,1.0170018051666287,6029.788028488142
