leader,follower,lag,mean_corr,min_corr,max_corr,n_days,sign_stable,abs_mean
UV_VISOR_MAGENTA,GALAXY_SOUNDS_SOLAR_FLAMES,2,0.026448896801265543,0.008502333686487564,0.037903029603385256,3,True,0.026448896801265543
PANEL_4X4,SLEEP_POD_NYLON,1,-0.02326255571409415,-0.04107086237834968,-0.009685242496803892,3,True,0.02326255571409415
UV_VISOR_ORANGE,MICROCHIP_SQUARE,1,-0.022725649783871777,-0.03467221948623322,-0.007617338422129082,3,True,0.022725649783871777
MICROCHIP_RECTANGLE,SLEEP_POD_SUEDE,1,0.022557603040651894,0.01598543988176183,0.029086843401389346,3,True,0.022557603040651894
GALAXY_SOUNDS_DARK_MATTER,SNACKPACK_PISTACHIO,1,-0.022255672330968257,-0.03464980446011411,-0.015985472876445025,3,True,0.022255672330968257
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,1,-0.02190496004414298,-0.033971210656722504,-0.012138245350464698,3,True,0.02190496004414298
UV_VISOR_ORANGE,OXYGEN_SHAKE_EVENING_BREATH,1,-0.021375411649953834,-0.04125629335572134,0.0010570285669028578,3,False,0.021375411649953834
SNACKPACK_STRAWBERRY,PEBBLES_S,5,0.02111317966460365,0.015675771876970935,0.02961304196129875,3,True,0.02111317966460365
SNACKPACK_RASPBERRY,PANEL_4X4,1,-0.021077696833328826,-0.029662004368458294,-0.007578468698047646,3,True,0.021077696833328826
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,1,-0.021069251832158742,-0.0357377798348373,-0.006655175105318342,3,True,0.021069251832158742
MICROCHIP_CIRCLE,MICROCHIP_OVAL,5,0.020911868087963442,0.011742619809725232,0.029229873546301462,3,True,0.020911868087963442
TRANSLATOR_SPACE_GRAY,SNACKPACK_CHOCOLATE,2,-0.020858298443478546,-0.02880654533755671,-0.0087851941326524,3,True,0.020858298443478546
GALAXY_SOUNDS_DARK_MATTER,SNACKPACK_STRAWBERRY,1,-0.02063446917846502,-0.03418374871574077,-0.013850189208871806,3,True,0.02063446917846502
OXYGEN_SHAKE_MORNING_BREATH,PANEL_1X2,1,-0.02051212679585758,-0.024477517194452524,-0.01571531883615354,3,True,0.02051212679585758
SNACKPACK_RASPBERRY,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.020419070669801618,-0.02856229399740591,-0.015351708376134329,3,True,0.020419070669801618
