,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON,MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL,ROBOT_VACUUMING,ROBOT_MOPPING,ROBOT_DISHES,ROBOT_LAUNDRY,ROBOT_IRONING,UV_VISOR_AMBER,UV_VISOR_MAGENTA,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_YELLOW,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,PANEL_1X2,PANEL_1X4,PANEL_2X2,PANEL_2X4,PANEL_4X4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO
GALAXY_SOUNDS_DARK_MATTER,0.0,0.9788657949031131,0.9608458185946991,0.9299596044192997,0.9830042453372194,0.9218967159968747,0.9826954376311604,0.9381794636215172,0.9202485993340542,0.9508919695473281,0.9472763072985237,0.9983406869208444,0.8645643312891667,0.9006752791264069,0.9515147088624033,0.9475945737373035,0.9886490838499805,0.9787953877703166,0.9850863953315958,0.9901586336509239,0.9665713201396807,0.9457283533270763,0.9313549174363721,0.9901327722767688,0.893354800257243,0.9158667331152563,0.9155470958925634,0.9938585080396581,0.9342019971587272,0.8850360251223767,0.8924311317543561,0.9574219249538145,0.995167660280367,0.9712697957432983,0.9614347770086942,0.9561883261610636,0.9540871662697845,0.9511633794513895,0.9702480078238447,0.979577053897778,0.9072653483966908,0.9508282264836571,0.9698967132595767,0.9439071197643755,0.9407771706155252,0.9779805720609093,0.9736241947229825,0.9823377037873147,0.967029330821218,0.9823495820506638
GALAXY_SOUNDS_BLACK_HOLES,0.9788657949031131,0.0,0.922571991621126,0.9111748396117534,0.9958490215195949,0.7376002207484906,0.9421636960084857,0.6736222726172634,0.8876677298371514,0.6972026465559994,0.8401914957405738,0.5224832429725256,0.6659058783648468,0.8065022448973527,0.7086971584553854,0.9764633442635435,0.9761715048069717,0.9420261374780141,0.9560981872730416,0.9649620243589971,0.7598371457834456,0.8323923134733826,0.6396884364450278,0.723833525299334,0.7383121082396682,0.6158404659468459,0.8847498157345471,0.858819062216154,0.7900681289802014,0.9484945637124182,0.8818993027105946,0.9972352494786226,0.9164580933497561,0.8264555015850868,0.7565641499749078,0.9592539179117684,0.720684254679485,0.7655139091194689,0.7297114818742159,0.9962930525584688,0.9139174830529888,0.8379769582690176,0.6686317297738624,0.8290322567886038,0.842420253398777,0.9681277214747596,0.9798950614644338,0.9980588099677555,0.9832233603358587,0.9270649428411474
GALAXY_SOUNDS_PLANETARY_RINGS,0.9608458185946991,0.922571991621126,0.0,0.9723967678563868,0.9785491431881304,0.7322384793345209,0.9463419824297538,0.8447443022532026,0.9094436402530576,0.8858133768594547,0.8733652094089188,0.9334607462116582,0.7047697964479994,0.8269381763204466,0.985009071440261,0.9794738212607924,0.9622318492333446,0.9695801498617662,0.982813732291789,0.9771453828006196,0.8854727690921628,0.8909704375406708,0.9898379068966713,0.9933865473633214,0.9559308216914514,0.7837699222290682,0.8305823513046324,0.8991727311881833,0.9108239417475387,0.8784566245320551,0.779180762632706,0.9839228317127002,0.9913850697977789,0.919192198823284,0.8435431472523103,0.8382916341235035,0.9034158067046377,0.9594881891289517,0.85881072711309,0.9483221418708715,0.9666714023217622,0.9183388949206146,0.8963211260502075,0.8931859737788165,0.9408865379269169,0.9830886374463913,0.9884466442641449,0.9368535856640627,0.9524511354032611,0.954958102198647
GALAXY_SOUNDS_SOLAR_WINDS,0.9299596044192997,0.9111748396117534,0.9723967678563868,0.0,0.9644507479238278,0.8802033215636199,0.9040732508314459,0.8460861511138166,0.851459278595273,0.8759532644743705,0.9645199934346304,0.7337381106556788,0.8527655866559998,0.8630293247102117,0.8226985020904376,0.9329500631575296,0.9512466129896517,0.9917720139940418,0.9966297379437478,0.943812089571372,0.8223003967323042,0.8340155676231402,0.8146027030649015,0.8011932967064164,0.8728019086828689,0.801949143939029,0.9295728689354883,0.9176050148525561,0.8442976126201244,0.9278491523600277,0.8682928045576581,0.9252657458738534,0.8903074169658771,0.9963425008311375,0.9725163462479443,0.9571595150968926,0.7215489785246316,0.8749249732072902,0.8576481830608185,0.9404583979938503,0.8702405266258608,0.9434973032881315,0.9162011900791287,0.7951634797909234,0.9508289923442511,0.976698856627933,0.9970046666713656,0.9967000824134721,0.9975729805827047,0.9505060884020125
GALAXY_SOUNDS_SOLAR_FLAMES,0.9830042453372194,0.9958490215195949,0.9785491431881304,0.9644507479238278,0.0,0.9858920757272954,0.891611654283033,0.9992074030522456,0.9304136029805059,0.995847206891826,0.9978870501974793,0.9245910250697258,0.9903473533264489,0.9738156669291836,0.9064097946092777,0.9724292071860048,0.9738177344760028,0.9500727272283338,0.9892843722378788,0.9720831380916943,0.9271380155788905,0.9544553503843048,0.9266513954023091,0.9573703025555672,0.9726652798237858,0.9943438618002562,0.9410931705043394,0.9998685742879706,0.9607276738941946,0.9860676917073221,0.9943754944927699,0.9910534978631192,0.9252692892186642,0.9805404832857854,0.9576243534313924,0.9485468479271335,0.896885069386683,0.9204925481160199,0.9909026553488768,0.8832256849958396,0.952272121750018,0.9193567180939454,0.9876435934509344,0.9761848752395631,0.8837302825042752,0.9882292844434771,0.9936256905363915,0.9577303488185361,0.9496153278725558,0.9565575288765926
SLEEP_POD_SUEDE,0.9218967159968747,0.7376002207484906,0.7322384793345209,0.8802033215636199,0.9858920757272954,0.0,0.9938669182689219,0.682470270006702,0.9644503020032013,0.7446587333259838,0.9745400366878473,0.6296603044825492,0.5642248293848491,0.7495923729747938,0.8486643318268794,0.9953440247889519,0.9881094994919961,0.9458090571445302,0.9923069010136182,0.9585472728723817,0.7664564651924968,0.7962554969405403,0.79295873611154,0.8010105835996355,0.8499303189014245,0.5863473133479049,0.709086472909775,0.8606899903562104,0.8600736468282686,0.915654670464725,0.7275201566580318,0.9661820683525536,0.9268333867240613,0.8948826017869986,0.816860635110551,0.8539234289673956,0.7746265890641254,0.9199754940114745,0.7403474880234348,0.959879366246818,0.9993696220040721,0.9879787908743898,0.7627797412375821,0.7636009021064494,0.9255585178149599,0.9840446497047334,0.9748886943212641,0.9551585819334025,0.9477868121861185,0.9900757953313348
SLEEP_POD_LAMB_WOOL,0.9826954376311604,0.9421636960084857,0.9463419824297538,0.9040732508314459,0.891611654283033,0.9938669182689219,0.0,0.9698115501346084,0.8725219760322144,0.9987625872205713,0.876646550463183,0.8590509432052771,0.9912136526379892,0.9685134205226994,0.9119874437201808,0.9734028843679848,0.9759792230906887,0.9410804452861495,0.9893892362923885,0.9929154222617034,0.8778366834578478,0.9382835236188791,0.8659926280247281,0.9374311529158667,0.9867313554943468,0.9634459966448911,0.9367549591871398,0.9645653774343164,0.9290849987654961,0.8956442058658136,0.9832723360351656,0.8953911902716487,0.9751342962701379,0.9500512156855478,0.9976750530869702,0.8111960882087345,0.9177373731941407,0.8462539941680702,0.9536135156204223,0.9997455819604022,0.942603381593005,0.9190757079448398,0.9259631983206726,0.8750089770045268,0.9784390763293559,0.953625232730052,0.946899651750247,0.9912501263249016,0.9868382896104462,0.9773146005746085
SLEEP_POD_POLYESTER,0.9381794636215172,0.6736222726172634,0.8447443022532026,0.8460861511138166,0.9992074030522456,0.682470270006702,0.9698115501346084,0.0,0.9465622127189639,0.6571383459073048,0.9552639691833599,0.5703286024324499,0.5632123403011982,0.7669556762142811,0.8517152306433693,0.9691364906488504,0.9685651364952054,0.9573565171386039,0.9852844270601536,0.9587861745976252,0.7228951801569528,0.7362933826482991,0.6927251923150751,0.6957805777659463,0.7645683995004777,0.5711545771314225,0.8113602479568518,0.8167339126710087,0.8650312875609196,0.8762367071370837,0.8286824374463178,0.8908349330779369,0.7687742292793313,0.8994637125288144,0.7670969028783958,0.9241877406529215,0.7420927299195225,0.8136116353592909,0.7556223155715651,0.984323699659565,0.9817113169172711,0.9141847653954892,0.74753233152098,0.7784962153947111,0.8562921070751348,0.9943247376410971,0.9966610837791058,0.9809269633858179,0.9759680213146904,0.950150651566822
SLEEP_POD_NYLON,0.9202485993340542,0.8876677298371514,0.9094436402530576,0.851459278595273,0.9304136029805059,0.9644503020032013,0.8725219760322144,0.9465622127189639,0.0,0.9519213361818321,0.8224348344886275,0.7425488947230654,0.9851310462653012,0.9843611025572813,0.7773570148075986,0.9663601073371179,0.9874370973984095,0.9394585715531564,0.9568085644178649,0.9656247714495444,0.8310775721804756,0.9061316339345327,0.8030253040570933,0.8496298251666546,0.9404383488191705,0.9136837676312886,0.9691792494429694,0.932350938388271,0.8345641340229986,0.8123220343224604,0.944475239649217,0.90400921644441,0.9603273809162208,0.9469886300071929,0.9139977274659623,0.7852157370466397,0.8572824573645417,0.8298879648431531,0.9030689518597967,0.9936409468753085,0.8337272091039316,0.9351508844206079,0.8753949044904674,0.8623762087555913,0.8727770209949282,0.9943390955344823,0.971603966312602,0.997410603159804,0.9937048098630716,0.9615420652789792
SLEEP_POD_COTTON,0.9508919695473281,0.6972026465559994,0.8858133768594547,0.8759532644743705,0.995847206891826,0.7446587333259838,0.9987625872205713,0.6571383459073048,0.9519213361818321,0.0,0.969730673014139,0.5740567874883321,0.5942670590479465,0.7417676736060652,0.7577515117239393,0.9830562168086437,0.953517952169948,0.9886637367853671,0.9571758814685528,0.9739617282371646,0.7755981052932928,0.6789618806761294,0.6646546095406941,0.7197859570392502,0.7595107964112164,0.6037956762700114,0.8333482430608117,0.843148914881029,0.7771226334272399,0.9487850087779908,0.8508796440848442,0.9873687566354267,0.781138522643281,0.922171104839,0.7980798551739744,0.975889439629776,0.6429367752355817,0.761114649548712,0.7678062767411211,0.9167991126267327,0.954347365924666,0.811160874111871,0.7640129850623469,0.7400583778237124,0.9135285439525016,0.9748766886381021,0.9712881595892331,0.980964514406424,0.995254665128354,0.9468512510433306
MICROCHIP_CIRCLE,0.9472763072985237,0.8401914957405738,0.8733652094089188,0.9645199934346304,0.9978870501974793,0.9745400366878473,0.876646550463183,0.9552639691833599,0.8224348344886275,0.969730673014139,0.0,0.7913822232882713,0.9320662913211346,0.9737000993555474,0.7806190909468422,0.9695025821989387,0.9943427211235112,0.9987347802505963,0.9284891889868563,0.9763718458398442,0.9322581111703386,0.994829469538892,0.8097932757401072,0.8851758883972389,0.9660034849298165,0.9399887701706787,0.9547870760230593,0.98399778931312,0.9142092682666869,0.7598622867503574,0.9739731717193083,0.944178452636697,0.924283750099524,0.8224847892492537,0.923525298527155,0.7792587955338444,0.9766329049423693,0.8972133349142432,0.9070342358272655,0.9156192432418896,0.7808587802840603,0.9841986072306496,0.8447483693632267,0.9960781258443807,0.996465172753614,0.9955421353052591,0.986859582289649,0.988950909303151,0.9892850893333399,0.9857533292805707
