predictor,family,leg,lag,mean_corr,min_corr,max_corr,n_days,sign_stable,abs_mean
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1,-0.0064939572219895325,-0.011274229241394738,0.0015716050234782064,3,False,0.0064939572219895325
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,0.0009769702095531792,-0.013205922358630117,0.014876634309273017,3,False,0.0009769702095531792
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,-0.001983313022851504,-0.009313671260992012,0.00968439866989964,3,False,0.001983313022851504
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,4,0.00037761358985470995,-0.006209060043925335,0.006027041030145159,3,False,0.00037761358985470995
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,5,0.00237528868433548,-0.00038746647101872006,0.00698605433247281,3,False,0.00237528868433548
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,1,-0.015645788003337602,-0.03156479793092696,-0.0005837048645697099,3,True,0.015645788003337602
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,-0.0025217973117727765,-0.011035073259232808,0.01402093803800592,3,False,0.0025217973117727765
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,-0.005431134090694151,-0.007847876057482838,-0.0032192006936343637,3,True,0.005431134090694151
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,0.001900383645375701,-0.004060047189208787,0.009631042929898744,3,False,0.001900383645375701
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,5,-0.005919278138838486,-0.026133329726299316,0.019604818315883187,3,False,0.005919278138838486
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.0002562327334208678,-0.006122304787023158,0.004625555738293164,3,False,0.0002562327334208678
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,2,-0.005667513961047699,-0.01523675248795247,0.004042863590540954,3,False,0.005667513961047699
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,3,-0.007620408776911003,-0.016414181756399988,0.0030116086951043446,3,False,0.007620408776911003
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,4,-0.0006741721807610133,-0.008643120164488064,0.008924155529900462,3,False,0.0006741721807610133
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,5,0.009928219662886447,0.007040319001033617,0.0152478204923583,3,True,0.009928219662886447
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,9.880682297051917e-05,-0.011820151636437258,0.021663333068653274,3,False,9.880682297051917e-05
mid,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2,-0.0044886211370265714,-0.024282720662355848,0.01886661428899372,3,False,0.0044886211370265714
